system,case,gt_service,gt_fault,ac_at_1,ac_at_3,top_cause_service,top_confidence,elapsed_seconds,error
ours,checkoutservice_cpu_1,checkoutservice,cpu,False,False,redis,0.48,52.73,
ours,checkoutservice_cpu_2,checkoutservice,cpu,True,True,redis,0.76,40.14,
ours,checkoutservice_cpu_3,checkoutservice,cpu,True,True,checkoutservice,0.86,48.98,
ours,checkoutservice_delay_1,checkoutservice,delay,False,False,redis,0.73,48.3,
ours,checkoutservice_delay_2,checkoutservice,delay,True,True,checkoutservice,0.66,51.25,
ours,checkoutservice_delay_3,checkoutservice,delay,False,False,currencyservice,0.83,50.55,
ours,checkoutservice_disk_1,checkoutservice,disk,False,True,redis,0.78,50.05,
ours,checkoutservice_disk_2,checkoutservice,disk,False,False,redis,0.76,57.71,
ours,checkoutservice_disk_3,checkoutservice,disk,False,False,frontend,0.03,52.28,
ours,checkoutservice_loss_1,checkoutservice,loss,False,False,redis,0.8,47.39,
ours,checkoutservice_loss_2,checkoutservice,loss,False,False,shippingservice,0.68,56.88,
ours,checkoutservice_loss_3,checkoutservice,loss,False,False,redis,0.75,50.42,
ours,checkoutservice_mem_1,checkoutservice,mem,False,False,redis,0.83,52.75,
ours,checkoutservice_mem_2,checkoutservice,mem,False,False,redis,0.48,45.63,
ours,checkoutservice_mem_3,checkoutservice,mem,True,True,redis,0.43,49.82,
ours,checkoutservice_socket_1,checkoutservice,socket,True,True,checkoutservice,0.76,46.1,
ours,checkoutservice_socket_2,checkoutservice,socket,True,True,frontend,0.48,53.99,
ours,checkoutservice_socket_3,checkoutservice,socket,True,True,checkoutservice,0.7,50.47,
ours,currencyservice_cpu_1,currencyservice,cpu,False,True,frontend,0.66,55.95,
ours,currencyservice_cpu_2,currencyservice,cpu,True,True,currencyservice,0.73,47.6,
ours,currencyservice_cpu_3,currencyservice,cpu,True,True,currencyservice,0.8,52.6,
ours,currencyservice_delay_1,currencyservice,delay,True,True,currencyservice,0.8,42.14,
ours,currencyservice_delay_2,currencyservice,delay,False,False,redis,0.68,39.45,
ours,currencyservice_delay_3,currencyservice,delay,False,False,redis,0.7,46.13,
ours,currencyservice_disk_1,currencyservice,disk,False,False,frontend,0.68,51.65,
ours,currencyservice_disk_2,currencyservice,disk,True,True,redis,0.65,47.17,
ours,currencyservice_disk_3,currencyservice,disk,True,True,currencyservice,0.7,58.36,
ours,currencyservice_loss_1,currencyservice,loss,False,False,redis,0.83,46.75,
ours,currencyservice_loss_2,currencyservice,loss,False,False,frontend,0.03,43.52,
ours,currencyservice_loss_3,currencyservice,loss,True,True,redis,0.73,43.54,
ours,currencyservice_mem_1,currencyservice,mem,True,True,redis,0.68,51.72,
ours,currencyservice_mem_2,currencyservice,mem,False,False,redis,0.68,49.07,
ours,currencyservice_mem_3,currencyservice,mem,False,False,adservice,0.8,53.23,
ours,currencyservice_socket_1,currencyservice,socket,True,True,currencyservice,0.63,44.28,
ours,currencyservice_socket_2,currencyservice,socket,True,True,currencyservice,0.8,48.08,
ours,currencyservice_socket_3,currencyservice,socket,False,False,redis,0.48,51.44,
ours,emailservice_cpu_1,emailservice,cpu,False,False,redis,0.68,54.31,
ours,emailservice_cpu_2,emailservice,cpu,False,False,currencyservice,0.4,46.21,
ours,emailservice_cpu_3,emailservice,cpu,False,True,frontend,0.26,62.1,
ours,emailservice_delay_1,emailservice,delay,True,True,frontend,0.6,62.59,
ours,emailservice_delay_2,emailservice,delay,False,False,redis,0.74,55.95,
ours,emailservice_delay_3,emailservice,delay,False,False,redis,0.78,44.54,
ours,emailservice_disk_1,emailservice,disk,False,False,redis,0.68,49.6,
ours,emailservice_disk_2,emailservice,disk,False,False,currencyservice,0.66,58.65,
ours,emailservice_disk_3,emailservice,disk,False,False,cartservice,0.4,55.97,
ours,emailservice_loss_1,emailservice,loss,False,False,redis,0.8,54.15,
ours,emailservice_loss_2,emailservice,loss,,,,,613.7,timed out
ours,emailservice_loss_3,emailservice,loss,True,True,emailservice,0.93,68.13,
ours,emailservice_mem_1,emailservice,mem,False,False,frontend,0.48,58.01,
ours,emailservice_mem_2,emailservice,mem,False,False,productcatalogservice,0.4,50.83,
ours,emailservice_mem_3,emailservice,mem,False,False,redis,0.68,55.14,
ours,emailservice_socket_1,emailservice,socket,False,False,redis,0.68,54.43,
