system,case,gt_service,gt_fault,ac_at_1,ac_at_3,top_cause_service,top_confidence,elapsed_seconds,error
ours,ts-auth-service_cpu_1,ts-auth-service,cpu,False,True,ts-preserve-service,0.3,78.17,
ours,ts-auth-service_cpu_2,ts-auth-service,cpu,True,True,ts-order-mongo,0.49,75.33,
ours,ts-auth-service_cpu_3,ts-auth-service,cpu,False,False,ts-security-service,0.28,75.34,
ours,ts-auth-service_delay_1,ts-auth-service,delay,True,True,ts-order-service,0.6,68.68,
ours,ts-auth-service_delay_2,ts-auth-service,delay,True,True,ts-auth-service,0.48,66.58,
ours,ts-auth-service_delay_3,ts-auth-service,delay,True,True,ts-travel-service,0.6,74.83,
ours,ts-auth-service_disk_1,ts-auth-service,disk,False,False,ts-preserve-service,0.46,74.74,
ours,ts-auth-service_disk_2,ts-auth-service,disk,True,True,ts-auth-service,0.48,74.28,
ours,ts-auth-service_disk_3,ts-auth-service,disk,True,True,ts-auth-service,0.48,70.01,
ours,ts-auth-service_loss_1,ts-auth-service,loss,False,False,ts-preserve-service,0.53,72.12,
ours,ts-auth-service_loss_2,ts-auth-service,loss,False,False,ts-food-map-service,0.49,75.88,
ours,ts-auth-service_loss_3,ts-auth-service,loss,True,True,ts-auth-service,0.45,73.71,
ours,ts-auth-service_mem_1,ts-auth-service,mem,True,True,ts-auth-service,0.48,71.53,
ours,ts-auth-service_mem_2,ts-auth-service,mem,True,True,ts-auth-service,0.59,72.05,
ours,ts-auth-service_mem_3,ts-auth-service,mem,False,False,ts-preserve-service,0.48,65.77,
ours,ts-auth-service_socket_1,ts-auth-service,socket,True,True,ts-auth-service,0.48,68.43,
ours,ts-auth-service_socket_2,ts-auth-service,socket,False,False,ts-preserve-service,0.35,69.67,
ours,ts-auth-service_socket_3,ts-auth-service,socket,True,True,ts-travel2-service,0.48,74.93,
ours,ts-order-service_cpu_1,ts-order-service,cpu,True,True,ts-order-service,0.6,68.88,
ours,ts-order-service_cpu_2,ts-order-service,cpu,True,True,ts-order-service,0.6,67.25,
ours,ts-order-service_cpu_3,ts-order-service,cpu,True,True,ts-order-service,0.6,68.51,
ours,ts-order-service_delay_1,ts-order-service,delay,True,True,ts-order-service,0.6,63.65,
ours,ts-order-service_delay_2,ts-order-service,delay,True,True,ts-order-service,0.6,55.7,
ours,ts-order-service_delay_3,ts-order-service,delay,True,True,ts-order-service,0.6,55.57,
ours,ts-order-service_disk_1,ts-order-service,disk,True,True,ts-order-service,0.6,67.67,
ours,ts-order-service_disk_2,ts-order-service,disk,True,True,ts-order-service,0.6,62.24,
ours,ts-order-service_disk_3,ts-order-service,disk,True,True,ts-order-service,0.6,58.23,
ours,ts-order-service_loss_1,ts-order-service,loss,True,True,ts-order-service,0.6,67.4,
ours,ts-order-service_loss_2,ts-order-service,loss,True,True,ts-order-service,0.6,56.21,
ours,ts-order-service_loss_3,ts-order-service,loss,True,True,ts-order-service,0.6,56.32,
ours,ts-order-service_mem_1,ts-order-service,mem,True,True,ts-order-service,0.6,68.7,
ours,ts-order-service_mem_2,ts-order-service,mem,True,True,ts-order-service,0.6,70.3,
ours,ts-order-service_mem_3,ts-order-service,mem,True,True,ts-order-service,0.6,65.41,
ours,ts-order-service_socket_1,ts-order-service,socket,True,True,ts-order-service,0.6,68.62,
ours,ts-order-service_socket_2,ts-order-service,socket,True,True,ts-order-service,0.6,58.75,
ours,ts-order-service_socket_3,ts-order-service,socket,True,True,ts-order-service,0.6,67.77,
ours,ts-route-service_cpu_1,ts-route-service,cpu,False,False,ts-order-service,0.6,73.01,
ours,ts-route-service_cpu_2,ts-route-service,cpu,True,True,ts-route-service,0.58,60.92,
ours,ts-route-service_cpu_3,ts-route-service,cpu,False,True,ts-preserve-service,0.38,60.6,
ours,ts-route-service_delay_1,ts-route-service,delay,False,False,ts-travel-service,0.6,73.12,
ours,ts-route-service_delay_2,ts-route-service,delay,False,False,ts-order-service,0.6,72.72,
ours,ts-route-service_delay_3,ts-route-service,delay,False,False,ts-food-service,0.42,73.51,
ours,ts-route-service_disk_1,ts-route-service,disk,True,True,ts-route-service,0.6,74.89,
ours,ts-route-service_disk_2,ts-route-service,disk,False,True,ts-preserve-service,0.46,81.42,
ours,ts-route-service_disk_3,ts-route-service,disk,True,True,ts-route-service,0.49,70.49,
ours,ts-route-service_loss_1,ts-route-service,loss,False,False,ts-route-mongo,0.48,71.14,
ours,ts-route-service_loss_2,ts-route-service,loss,False,False,ts-order-service,0.54,72.17,
ours,ts-route-service_loss_3,ts-route-service,loss,False,False,ts-travel-service,0.3,74.85,
ours,ts-route-service_mem_1,ts-route-service,mem,True,True,ts-route-service,0.58,74.84,
ours,ts-route-service_mem_2,ts-route-service,mem,True,True,ts-route-service,0.6,71.1,
ours,ts-route-service_mem_3,ts-route-service,mem,True,True,ts-route-service,0.49,74.01,
ours,ts-route-service_socket_1,ts-route-service,socket,True,True,ts-route-service,0.59,71.31,
ours,ts-route-service_socket_2,ts-route-service,socket,True,True,ts-route-service,0.6,71.12,
