system,case,gt_service,gt_fault,ac_at_1,ac_at_3,top_cause_service,top_confidence,elapsed_seconds,error
ours,checkoutservice_cpu_1,checkoutservice,cpu,True,True,checkoutservice,0.6,32.49,
ours,checkoutservice_cpu_2,checkoutservice,cpu,True,True,checkoutservice,0.6,26.98,
ours,checkoutservice_cpu_3,checkoutservice,cpu,True,True,checkoutservice,0.6,28.19,
ours,checkoutservice_delay_1,checkoutservice,delay,True,True,checkoutservice,0.6,57.18,
ours,checkoutservice_delay_2,checkoutservice,delay,True,True,checkoutservice,0.6,31.47,
ours,checkoutservice_delay_3,checkoutservice,delay,True,True,checkoutservice,0.6,32.01,
ours,checkoutservice_disk_1,checkoutservice,disk,True,True,checkoutservice,0.6,27.78,
ours,checkoutservice_disk_2,checkoutservice,disk,True,True,checkoutservice,0.6,39.72,
ours,checkoutservice_disk_3,checkoutservice,disk,True,True,checkoutservice,0.6,27.86,
ours,checkoutservice_loss_1,checkoutservice,loss,True,True,checkoutservice,0.6,38.28,
ours,checkoutservice_loss_2,checkoutservice,loss,True,True,checkoutservice,0.6,39.82,
ours,checkoutservice_loss_3,checkoutservice,loss,True,True,checkoutservice,0.6,36.67,
ours,checkoutservice_mem_1,checkoutservice,mem,True,True,checkoutservice,0.6,32.49,
ours,checkoutservice_mem_2,checkoutservice,mem,True,True,checkoutservice,0.6,30.1,
ours,checkoutservice_mem_3,checkoutservice,mem,True,True,checkoutservice,0.6,40.6,
ours,checkoutservice_socket_1,checkoutservice,socket,True,True,checkoutservice,0.6,29.04,
ours,checkoutservice_socket_2,checkoutservice,socket,True,True,checkoutservice,0.6,36.33,
ours,checkoutservice_socket_3,checkoutservice,socket,True,True,checkoutservice,0.6,32.29,
ours,currencyservice_cpu_1,currencyservice,cpu,False,False,redis,0.6,39.3,
ours,currencyservice_cpu_2,currencyservice,cpu,False,False,frontend,0.03,31.44,
ours,currencyservice_cpu_3,currencyservice,cpu,True,True,currencyservice,0.6,38.02,
ours,currencyservice_delay_1,currencyservice,delay,False,False,checkoutservice,0.6,32.11,
ours,currencyservice_delay_2,currencyservice,delay,True,True,currencyservice,0.72,24.93,
ours,currencyservice_delay_3,currencyservice,delay,False,False,frontend,0.6,27.73,
ours,currencyservice_disk_1,currencyservice,disk,True,True,currencyservice,0.6,30.77,
