system,case,gt_service,gt_fault,ac_at_1,ac_at_3,top_cause_service,top_confidence,elapsed_seconds,error
ours,checkoutservice_cpu_1,checkoutservice,cpu,False,False,frontend,0.33,41.82,
ours,checkoutservice_cpu_2,checkoutservice,cpu,False,False,frontend,0.15,35.13,
ours,checkoutservice_cpu_3,checkoutservice,cpu,,,,,0.0,Port 18000 in use
ours,checkoutservice_delay_1,checkoutservice,delay,False,False,frontend,0.18,40.75,
ours,checkoutservice_delay_2,checkoutservice,delay,,,,,0.01,Port 18000 in use
ours,checkoutservice_delay_3,checkoutservice,delay,False,True,cartservice,0.4,42.66,
ours,checkoutservice_disk_1,checkoutservice,disk,,,,,0.0,Port 18000 in use
ours,checkoutservice_disk_2,checkoutservice,disk,True,True,checkoutservice,0.28,41.52,
ours,checkoutservice_disk_3,checkoutservice,disk,,,,,0.0,Port 18000 in use
ours,checkoutservice_loss_1,checkoutservice,loss,False,False,frontend,0.33,39.89,
ours,checkoutservice_loss_2,checkoutservice,loss,,,,,0.03,Port 18000 in use
ours,checkoutservice_loss_3,checkoutservice,loss,False,False,cartservice,0.4,43.48,
ours,checkoutservice_mem_1,checkoutservice,mem,True,True,frontend,0.23,41.6,
ours,checkoutservice_mem_2,checkoutservice,mem,,,,,0.02,Port 18000 in use
ours,checkoutservice_mem_3,checkoutservice,mem,False,False,frontend,0.38,43.5,
ours,checkoutservice_socket_1,checkoutservice,socket,True,True,frontend,0.5,43.49,
ours,checkoutservice_socket_2,checkoutservice,socket,True,True,checkoutservice,0.31,43.66,
ours,checkoutservice_socket_3,checkoutservice,socket,,,,,0.02,Port 18000 in use
ours,currencyservice_cpu_1,currencyservice,cpu,True,True,currencyservice,0.8,42.05,
ours,currencyservice_cpu_2,currencyservice,cpu,True,True,currencyservice,0.73,40.67,
ours,currencyservice_cpu_3,currencyservice,cpu,,,,,0.02,Port 18000 in use
ours,currencyservice_delay_1,currencyservice,delay,True,True,currencyservice,0.4,42.08,
ours,currencyservice_delay_2,currencyservice,delay,,,,,0.0,Port 18000 in use
ours,currencyservice_delay_3,currencyservice,delay,True,True,currencyservice,0.4,38.05,
ours,currencyservice_disk_1,currencyservice,disk,,,,,0.0,Port 18000 in use
ours,currencyservice_disk_2,currencyservice,disk,True,True,currencyservice,0.28,42.45,
ours,currencyservice_disk_3,currencyservice,disk,,,,,0.02,Port 18000 in use
ours,currencyservice_loss_1,currencyservice,loss,True,True,frontend,0.18,41.0,
ours,currencyservice_loss_2,currencyservice,loss,,,,,0.01,Port 18000 in use
ours,currencyservice_loss_3,currencyservice,loss,False,True,cartservice,0.4,41.42,
ours,currencyservice_mem_1,currencyservice,mem,,,,,0.02,Port 18000 in use
ours,currencyservice_mem_2,currencyservice,mem,True,True,currencyservice,0.53,41.55,
ours,currencyservice_mem_3,currencyservice,mem,,,,,0.01,Port 18000 in use
ours,currencyservice_socket_1,currencyservice,socket,True,True,currencyservice,0.53,39.97,
ours,currencyservice_socket_2,currencyservice,socket,,,,,0.02,Port 18000 in use
ours,currencyservice_socket_3,currencyservice,socket,False,False,frontend,0.33,44.38,
ours,emailservice_cpu_1,emailservice,cpu,,,,,0.02,Port 18000 in use
ours,emailservice_cpu_2,emailservice,cpu,False,False,cartservice,0.3,48.48,
ours,emailservice_cpu_3,emailservice,cpu,False,False,frontend,0.58,46.32,
ours,emailservice_delay_1,emailservice,delay,,,,,0.0,Port 18000 in use
ours,emailservice_delay_2,emailservice,delay,False,False,currencyservice,0.4,40.3,
ours,emailservice_delay_3,emailservice,delay,,,,,0.0,Port 18000 in use
ours,emailservice_disk_1,emailservice,disk,,,,,0.02,Port 18000 in use
ours,emailservice_disk_2,emailservice,disk,False,False,frontend,0.15,45.35,
ours,emailservice_disk_3,emailservice,disk,False,False,cartservice,0.4,43.67,
ours,emailservice_loss_1,emailservice,loss,False,False,cartservice,0.3,44.39,
ours,emailservice_loss_2,emailservice,loss,,,,,0.02,Port 18000 in use
ours,emailservice_loss_3,emailservice,loss,False,False,frontend,0.15,41.42,
ours,emailservice_mem_1,emailservice,mem,,,,,0.03,Port 18000 in use
ours,emailservice_mem_2,emailservice,mem,False,False,frontend,0.23,46.02,
ours,emailservice_mem_3,emailservice,mem,,,,,0.02,Port 18000 in use
ours,emailservice_socket_1,emailservice,socket,True,True,frontend,0.48,45.13,
ours,emailservice_socket_2,emailservice,socket,False,False,cartservice,0.4,43.42,
ours,emailservice_socket_3,emailservice,socket,False,False,adservice,0.4,46.2,
ours,productcatalogservice_cpu_1,productcatalogservice,cpu,False,False,frontend,0.15,41.67,
ours,productcatalogservice_cpu_2,productcatalogservice,cpu,,,,,0.0,Port 18000 in use
ours,productcatalogservice_cpu_3,productcatalogservice,cpu,False,False,frontend,0.21,48.77,
ours,productcatalogservice_delay_1,productcatalogservice,delay,True,True,productcatalogservice,0.51,43.25,
ours,productcatalogservice_delay_2,productcatalogservice,delay,,,,,0.02,Port 18000 in use
ours,productcatalogservice_delay_3,productcatalogservice,delay,False,False,frontend,0.48,46.15,
ours,productcatalogservice_disk_1,productcatalogservice,disk,False,False,frontend,0.23,47.07,
ours,productcatalogservice_disk_2,productcatalogservice,disk,False,True,cartservice,0.4,54.26,
ours,productcatalogservice_disk_3,productcatalogservice,disk,,,,,0.0,Port 18000 in use
ours,productcatalogservice_loss_1,productcatalogservice,loss,False,True,cartservice,0.4,42.34,
ours,productcatalogservice_loss_2,productcatalogservice,loss,,,,,0.0,Port 18000 in use
