system,case,gt_service,gt_fault,ac_at_1,ac_at_3,top_cause_service,top_confidence,elapsed_seconds,error
ours,checkoutservice_cpu_1,checkoutservice,cpu,False,False,frontend,0.23,53.15,
ours,checkoutservice_cpu_2,checkoutservice,cpu,False,True,cartservice,0.3,44.99,
ours,checkoutservice_cpu_3,checkoutservice,cpu,False,False,unobserved_upstream_of_frontend,0.3,54.38,
ours,checkoutservice_delay_1,checkoutservice,delay,False,False,productcatalogservice,0.3,68.22,
ours,checkoutservice_delay_2,checkoutservice,delay,False,False,cartservice,0.5,56.2,
ours,checkoutservice_delay_3,checkoutservice,delay,False,False,cartservice,0.4,48.04,
ours,checkoutservice_disk_1,checkoutservice,disk,True,True,checkoutservice,0.28,50.31,
ours,checkoutservice_disk_2,checkoutservice,disk,True,True,checkoutservice,0.66,51.95,
ours,checkoutservice_disk_3,checkoutservice,disk,False,True,frontend,0.4,48.99,
ours,checkoutservice_loss_1,checkoutservice,loss,False,False,cartservice,0.4,47.01,
ours,checkoutservice_loss_2,checkoutservice,loss,False,False,frontend,0.28,49.98,
ours,checkoutservice_loss_3,checkoutservice,loss,False,False,cartservice,0.4,51.91,
ours,checkoutservice_mem_1,checkoutservice,mem,False,False,frontend,0.03,43.1,
ours,checkoutservice_mem_2,checkoutservice,mem,False,False,frontend,0.48,38.69,
ours,checkoutservice_mem_3,checkoutservice,mem,False,False,frontend,0.63,56.1,
ours,checkoutservice_socket_1,checkoutservice,socket,True,True,shippingservice,0.48,54.25,
ours,checkoutservice_socket_2,checkoutservice,socket,False,False,cartservice,0.3,43.88,
ours,checkoutservice_socket_3,checkoutservice,socket,False,True,cartservice,0.4,50.86,
ours,currencyservice_cpu_1,currencyservice,cpu,True,True,currencyservice,0.68,47.66,
ours,currencyservice_cpu_2,currencyservice,cpu,False,False,frontend,0.28,46.54,
ours,currencyservice_cpu_3,currencyservice,cpu,False,True,cartservice,0.47,49.18,
ours,currencyservice_delay_1,currencyservice,delay,False,True,cartservice,0.4,47.77,
ours,currencyservice_delay_2,currencyservice,delay,True,True,recommendationservice,0.58,42.85,
ours,currencyservice_delay_3,currencyservice,delay,True,True,currencyservice,0.3,45.7,
ours,currencyservice_disk_1,currencyservice,disk,False,True,productcatalogservice,0.3,52.78,
ours,currencyservice_disk_2,currencyservice,disk,True,True,currencyservice,0.81,51.16,
ours,currencyservice_disk_3,currencyservice,disk,False,True,cartservice,0.3,55.09,
ours,currencyservice_loss_1,currencyservice,loss,False,False,frontend,0.33,44.37,
ours,currencyservice_loss_2,currencyservice,loss,True,True,currencyservice,0.28,40.87,
ours,currencyservice_loss_3,currencyservice,loss,True,True,currencyservice,0.7,48.0,
ours,currencyservice_mem_1,currencyservice,mem,True,True,currencyservice,0.93,51.38,
ours,currencyservice_mem_2,currencyservice,mem,False,False,frontend,0.15,47.11,
ours,currencyservice_mem_3,currencyservice,mem,False,True,cartservice,0.3,47.79,
ours,currencyservice_socket_1,currencyservice,socket,False,True,cartservice,0.3,47.85,
ours,currencyservice_socket_2,currencyservice,socket,True,True,currencyservice,0.68,47.72,
ours,currencyservice_socket_3,currencyservice,socket,False,False,frontend,0.15,45.46,
ours,emailservice_cpu_1,emailservice,cpu,False,False,frontend,0.33,47.02,
ours,emailservice_cpu_2,emailservice,cpu,False,False,frontend,0.63,54.97,
ours,emailservice_cpu_3,emailservice,cpu,False,False,frontend,0.36,55.19,
ours,emailservice_delay_1,emailservice,delay,False,False,cartservice,0.4,48.33,
ours,emailservice_delay_2,emailservice,delay,False,False,currencyservice,0.45,46.61,
ours,emailservice_delay_3,emailservice,delay,False,False,frontend,0.33,47.49,
ours,emailservice_disk_1,emailservice,disk,False,False,frontend,0.15,50.45,
ours,emailservice_disk_2,emailservice,disk,False,False,unobserved_dependency_disk_fault,0.3,47.74,
ours,emailservice_disk_3,emailservice,disk,True,True,cartservice,0.4,46.27,
ours,emailservice_loss_1,emailservice,loss,False,False,cartservice,0.5,46.15,
ours,emailservice_loss_2,emailservice,loss,False,False,cartservice,0.4,49.69,
ours,emailservice_loss_3,emailservice,loss,False,False,cartservice,0.4,45.61,
ours,emailservice_mem_1,emailservice,mem,False,False,frontend,0.15,44.81,
ours,emailservice_mem_2,emailservice,mem,False,False,productcatalogservice,0.4,48.77,
ours,emailservice_mem_3,emailservice,mem,False,False,cartservice,0.4,48.54,
ours,emailservice_socket_1,emailservice,socket,True,True,emailservice,0.53,49.9,
ours,emailservice_socket_2,emailservice,socket,False,False,frontend,0.28,46.61,
ours,emailservice_socket_3,emailservice,socket,False,False,frontend,0.28,48.43,
ours,productcatalogservice_cpu_1,productcatalogservice,cpu,True,True,productcatalogservice,0.68,47.57,
ours,productcatalogservice_cpu_2,productcatalogservice,cpu,False,True,cartservice,0.4,47.89,
ours,productcatalogservice_cpu_3,productcatalogservice,cpu,False,False,frontend,0.58,46.9,
ours,productcatalogservice_delay_1,productcatalogservice,delay,True,True,productcatalogservice,0.48,49.58,
ours,productcatalogservice_delay_2,productcatalogservice,delay,False,True,cartservice,0.4,46.76,
ours,productcatalogservice_delay_3,productcatalogservice,delay,False,True,frontend,0.43,47.1,
ours,productcatalogservice_disk_1,productcatalogservice,disk,False,True,shippingservice,0.4,50.31,
ours,productcatalogservice_disk_2,productcatalogservice,disk,False,False,frontend,0.63,43.15,
ours,productcatalogservice_disk_3,productcatalogservice,disk,True,True,productcatalogservice,0.65,49.39,
ours,productcatalogservice_loss_1,productcatalogservice,loss,False,False,frontend,0.28,44.55,
ours,productcatalogservice_loss_2,productcatalogservice,loss,True,True,productcatalogservice,0.71,44.0,
ours,productcatalogservice_loss_3,productcatalogservice,loss,False,False,frontend,0.28,44.19,
ours,productcatalogservice_mem_1,productcatalogservice,mem,False,False,frontend,0.48,42.11,
ours,productcatalogservice_mem_2,productcatalogservice,mem,True,True,productcatalogservice,0.78,48.57,
ours,productcatalogservice_mem_3,productcatalogservice,mem,True,True,productcatalogservice,0.61,47.63,
ours,productcatalogservice_socket_1,productcatalogservice,socket,True,True,productcatalogservice,0.27,49.95,
ours,productcatalogservice_socket_2,productcatalogservice,socket,False,True,cartservice,0.3,47.56,
ours,productcatalogservice_socket_3,productcatalogservice,socket,True,True,productcatalogservice,0.3,48.32,
ours,recommendationservice_cpu_1,recommendationservice,cpu,False,False,frontend,0.33,48.02,
ours,recommendationservice_cpu_2,recommendationservice,cpu,True,True,recommendationservice,0.4,47.42,
ours,recommendationservice_cpu_3,recommendationservice,cpu,False,False,frontend,0.15,46.2,
ours,recommendationservice_delay_1,recommendationservice,delay,False,False,shippingservice,0.4,52.73,
ours,recommendationservice_delay_2,recommendationservice,delay,False,False,cartservice,0.3,46.27,
ours,recommendationservice_delay_3,recommendationservice,delay,False,False,cartservice,0.4,46.04,
ours,recommendationservice_disk_1,recommendationservice,disk,True,True,recommendationservice,0.73,47.63,
ours,recommendationservice_disk_2,recommendationservice,disk,True,True,recommendationservice,0.78,53.0,
ours,recommendationservice_disk_3,recommendationservice,disk,False,False,frontend,0.23,48.53,
ours,recommendationservice_loss_1,recommendationservice,loss,False,False,cartservice,0.4,48.02,
ours,recommendationservice_loss_2,recommendationservice,loss,False,False,frontend,0.15,51.04,
ours,recommendationservice_loss_3,recommendationservice,loss,False,False,frontend,0.18,43.5,
ours,recommendationservice_mem_1,recommendationservice,mem,True,True,recommendationservice,0.45,45.15,
ours,recommendationservice_mem_2,recommendationservice,mem,False,False,frontend,0.33,43.21,
ours,recommendationservice_mem_3,recommendationservice,mem,False,False,frontend,0.18,49.95,
ours,recommendationservice_socket_1,recommendationservice,socket,False,False,frontend,0.73,40.07,
ours,recommendationservice_socket_2,recommendationservice,socket,True,True,recommendationservice,0.43,52.06,
ours,recommendationservice_socket_3,recommendationservice,socket,True,True,recommendationservice,0.68,52.8,
