system,case,gt_service,gt_fault,ac_at_1,ac_at_3,top_cause_service,top_confidence,elapsed_seconds,error
ours,checkoutservice_cpu_1,checkoutservice,cpu,True,True,checkoutservice,0.63,50.84,
ours,checkoutservice_cpu_2,checkoutservice,cpu,False,False,currencyservice,0.76,41.2,
ours,checkoutservice_cpu_3,checkoutservice,cpu,True,True,checkoutservice,0.73,50.07,
ours,checkoutservice_delay_1,checkoutservice,delay,True,True,checkoutservice,0.8,47.9,
ours,checkoutservice_delay_2,checkoutservice,delay,False,False,frontend,0.03,47.38,
ours,checkoutservice_delay_3,checkoutservice,delay,False,False,currencyservice,0.63,46.25,
ours,checkoutservice_disk_1,checkoutservice,disk,True,True,checkoutservice,0.86,42.94,
ours,checkoutservice_disk_2,checkoutservice,disk,True,True,checkoutservice,0.8,42.18,
ours,checkoutservice_disk_3,checkoutservice,disk,True,True,checkoutservice,0.43,47.02,
ours,checkoutservice_loss_1,checkoutservice,loss,True,True,checkoutservice,0.73,49.52,
ours,checkoutservice_loss_2,checkoutservice,loss,False,False,frontend,0.23,43.89,
ours,checkoutservice_loss_3,checkoutservice,loss,False,False,currencyservice,0.5,45.19,
ours,checkoutservice_mem_1,checkoutservice,mem,False,False,cartservice,0.5,42.48,
ours,checkoutservice_mem_2,checkoutservice,mem,True,True,checkoutservice,0.8,36.96,
ours,checkoutservice_mem_3,checkoutservice,mem,False,True,currencyservice,0.4,51.02,
ours,checkoutservice_socket_1,checkoutservice,socket,True,True,checkoutservice,0.5,49.51,
ours,checkoutservice_socket_2,checkoutservice,socket,True,True,checkoutservice,0.9,48.31,
ours,checkoutservice_socket_3,checkoutservice,socket,False,True,paymentservice,0.76,47.25,
ours,currencyservice_cpu_1,currencyservice,cpu,True,True,currencyservice,0.68,46.9,
ours,currencyservice_cpu_2,currencyservice,cpu,True,True,currencyservice,0.83,42.09,
ours,currencyservice_cpu_3,currencyservice,cpu,True,True,currencyservice,0.73,41.67,
ours,currencyservice_delay_1,currencyservice,delay,True,True,currencyservice,0.57,44.44,
ours,currencyservice_delay_2,currencyservice,delay,True,True,currencyservice,0.8,43.59,
ours,currencyservice_delay_3,currencyservice,delay,True,True,currencyservice,0.58,41.75,
ours,currencyservice_disk_1,currencyservice,disk,True,True,currencyservice,0.58,49.81,
ours,currencyservice_disk_2,currencyservice,disk,False,True,adservice,0.4,52.63,
ours,currencyservice_disk_3,currencyservice,disk,True,True,currencyservice,0.68,42.26,
ours,currencyservice_loss_1,currencyservice,loss,False,False,frontend,0.31,52.31,
ours,currencyservice_loss_2,currencyservice,loss,True,True,currencyservice,0.78,40.73,
ours,currencyservice_loss_3,currencyservice,loss,False,True,api-gateway,0.68,48.65,
ours,currencyservice_mem_1,currencyservice,mem,True,True,currencyservice,0.68,36.63,
ours,currencyservice_mem_2,currencyservice,mem,False,False,adservice,0.73,47.26,
ours,currencyservice_mem_3,currencyservice,mem,False,False,adservice,0.73,48.84,
ours,currencyservice_socket_1,currencyservice,socket,True,True,currencyservice,0.28,45.66,
ours,currencyservice_socket_2,currencyservice,socket,True,True,frontend,0.28,44.76,
ours,currencyservice_socket_3,currencyservice,socket,True,True,currencyservice,0.8,48.37,
ours,emailservice_cpu_1,emailservice,cpu,True,True,emailservice,0.7,51.56,
ours,emailservice_cpu_2,emailservice,cpu,False,False,frontend,0.28,64.3,
ours,emailservice_cpu_3,emailservice,cpu,True,True,emailservice,0.53,53.03,
ours,emailservice_delay_1,emailservice,delay,False,False,frontend,0.03,55.89,
ours,emailservice_delay_2,emailservice,delay,False,False,checkoutservice,0.58,52.22,
ours,emailservice_delay_3,emailservice,delay,False,False,frontend,0.28,50.04,
ours,emailservice_disk_1,emailservice,disk,True,True,emailservice,0.93,56.68,
ours,emailservice_disk_2,emailservice,disk,True,True,emailservice,0.45,47.3,
ours,emailservice_disk_3,emailservice,disk,False,False,frontend,0.43,47.72,
ours,emailservice_loss_1,emailservice,loss,True,True,emailservice,0.8,52.5,
ours,emailservice_loss_2,emailservice,loss,True,True,external_mail_service,0.8,57.03,
ours,emailservice_loss_3,emailservice,loss,True,True,emailservice,0.8,47.07,
ours,emailservice_mem_1,emailservice,mem,False,False,currencyservice,0.6,43.19,
ours,emailservice_mem_2,emailservice,mem,True,True,emailservice,0.65,51.67,
ours,emailservice_mem_3,emailservice,mem,False,False,currencyservice,0.38,49.08,
ours,emailservice_socket_1,emailservice,socket,False,False,frontend,0.03,43.62,
ours,emailservice_socket_2,emailservice,socket,False,False,currencyservice,0.57,45.56,
ours,emailservice_socket_3,emailservice,socket,False,False,currencyservice,0.4,42.55,
ours,productcatalogservice_cpu_1,productcatalogservice,cpu,True,True,productcatalogservice,0.8,41.08,
ours,productcatalogservice_cpu_2,productcatalogservice,cpu,False,False,frontend,0.27,43.8,
ours,productcatalogservice_cpu_3,productcatalogservice,cpu,False,False,frontend,0.43,41.55,
ours,productcatalogservice_delay_1,productcatalogservice,delay,False,False,frontend,0.73,43.52,
ours,productcatalogservice_delay_2,productcatalogservice,delay,True,True,productcatalogservice,0.8,41.12,
ours,productcatalogservice_delay_3,productcatalogservice,delay,True,True,catalog-service,0.86,39.66,
ours,productcatalogservice_disk_1,productcatalogservice,disk,True,True,productcatalogservice,0.8,42.1,
ours,productcatalogservice_disk_2,productcatalogservice,disk,True,True,productcatalogservice,0.73,42.97,
ours,productcatalogservice_disk_3,productcatalogservice,disk,True,True,productcatalogservice,0.76,44.94,
ours,productcatalogservice_loss_1,productcatalogservice,loss,False,False,recommendationservice,0.76,47.27,
ours,productcatalogservice_loss_2,productcatalogservice,loss,True,True,productcatalogservice,0.74,38.92,
ours,productcatalogservice_loss_3,productcatalogservice,loss,True,True,productcatalogservice,0.86,39.27,
ours,productcatalogservice_mem_1,productcatalogservice,mem,False,False,adservice,0.86,36.52,
ours,productcatalogservice_mem_2,productcatalogservice,mem,False,False,frontend,0.78,36.38,
ours,productcatalogservice_mem_3,productcatalogservice,mem,False,False,adservice,0.73,38.86,
ours,productcatalogservice_socket_1,productcatalogservice,socket,True,True,productcatalogservice,0.78,43.97,
ours,productcatalogservice_socket_2,productcatalogservice,socket,True,True,catalogservice,0.78,47.0,
