system,scenario,success,ac_at_1,ac_at_3,path_accuracy,fp_handled,top_confidence,verdict,ground_truth,predicted_service,elapsed
ours,s1,True,True,True,True,,0.95,accepted,user-db,user-db,30.41
ours,s2,True,True,True,True,,0.92,accepted,worker-service,worker-service,27.25
ours,s3,True,True,True,True,,0.95,accepted,catalog-service,catalog-service,28.79
ours,s4,True,True,True,True,,0.95,accepted,order-db,order-db,28.15
ours,s5,True,False,False,,True,0.45,weak-evidence,,auth-service,32.95
ours,s6,True,True,True,True,,0.95,accepted,user-db,user-db,43.07
ours,s7,True,True,True,True,,0.93,accepted,user-db,worker-service,39.7
ours,s8,True,True,True,True,,0.86,accepted,user-db,user-db,32.55
ours,case1,True,True,True,True,,0.93,accepted,device-state-gateway,device-state-gateway,31.16
ours,case2,True,True,True,True,,0.8,accepted,device-state-gateway,device-state-gateway,33.91
b1,s1,True,True,True,True,,0.95,accepted,user-db,,1.59
b1,s2,True,True,True,True,,0.897,accepted,worker-service,,2.5
b1,s3,True,True,True,True,,0.95,accepted,catalog-service,,2.48
b1,s4,True,True,True,True,,0.95,accepted,order-db,,2.49
b1,s5,True,False,False,,True,0.24,weak-evidence,,,1.58
b1,s6,True,True,True,True,,0.95,accepted,user-db,,1.57
b1,s7,True,True,True,True,,0.886,accepted,user-db,,1.55
b1,s8,True,False,False,False,,0.935,accepted,user-db,,1.56
b2,s1,True,False,False,False,,0.309,weak-evidence,user-db,,18.47
b2,s2,True,False,False,False,,0.292,weak-evidence,worker-service,,21.74
b2,s3,True,False,False,False,,0.305,weak-evidence,catalog-service,,23.5
b2,s4,True,False,False,False,,0.281,weak-evidence,order-db,,19.86
b2,s5,True,False,False,,True,0.235,weak-evidence,,,24.75
b2,s6,True,False,False,False,,0.3,weak-evidence,user-db,,22.93
b2,s7,True,False,False,False,,0.279,weak-evidence,user-db,,19.42
b2,s8,True,False,False,False,,0.291,weak-evidence,user-db,,20.35
b3,s1,True,True,True,True,,0.83,skipped,user-db,user-db,25.89
b3,s2,True,True,True,True,,0.86,skipped,worker-service,worker-service,36.04
b3,s3,True,True,True,True,,0.92,skipped,catalog-service,catalog-service,39.19
b3,s4,True,True,True,True,,0.88,skipped,order-db,order-db,24.8
b3,s5,True,False,False,,False,0.72,skipped,,api-gateway,29.03
b3,s6,True,True,True,True,,0.86,skipped,user-db,user-db,37.18
b3,s7,True,True,True,True,,0.85,skipped,user-db,worker-service,48.0
b3,s8,True,True,True,True,,0.75,skipped,user-db,auth-service,32.29
